name,latitude,longitude,elevation_m,type
Schutzhütte Am Hohlebrunn Kilometer 160,50.4083181,11.5921582,645,Schutzhütte
Schutzhütte am Pferdeweg Kilometer 161,50.4054006,11.6001696,640,Schutzhütte
Schutzhütte Rindenhütte Kilometer 124,50.4761189,10.98792,821,Schutzhütte
Schutzhütte Spießberg Kilometer 40,50.8241469,10.5404809,748,Schutzhütte
Aussichtsturm Hoher Schorn Kilometer 56,50.7316172,10.6271268,842,Schutzhütte
Aussichtsturm Plänckners Aussicht Kilometer 69,50.6566641,10.7433334,973,Unterstand
Aussichtsturm Südlicher Spießberg Kilometer 42,50.8172027,10.5420057,729,Schutzhütte
Beerberggrotte Kilometer 31,50.8451146,10.4418112,793,Schutzhütte
Vordere Werraquelle Kilometer 120,50.499497,10.9647617,783,Wasserstelle
Clemens-Major-Schutzhütte Kilometer 128,50.493985,11.2427265,785,Schutzhütte
Luisengrotte,50.934518,10.307354,404,Unterstand
Pirschhaus Dreiherrenstein Kilometer 50,50.791519,10.5384168,730,Schutzhütte
Rastplatz Am Beerholz Kilometer 162,50.4068217,11.6137745,666,Unterstand
Rastplatz Hofmannlinde Kilometer 10,50.9482007,10.2753301,387,Schutzhütte
Rastplatz Kilometer 115,50.4963317,11.1023376,852,Unterstand
Rastplatz Kilometer 13,50.9381292,10.2983253,416,Unterstand
Rastplatz südlich Neuhaus,50.5013221,11.129727,816,Unterstand
Rennsteiggrotte Kilometer 17,50.9128652,10.3321869,498,Schutzhütte
Rennsteighaus Brennersgrün/Lehesten Kilometer 150,50.4374132,11.4698268,703,Schutzhütte
Rennsteighaus Masserberg Kilometer 99,50.517869,10.964758,832,Schutzhütte
Rennsteighaus Neuhaus am Rennweg Kilometer 118,50.5016115,11.1446326,826,Schutzhütte
Rennsteighaus Oberhof Kilometer 62,50.706375,10.6944926,842,Schutzhütte
Schutzhütte Adler Kilometer 70,50.6528316,10.7544565,919,Schutzhütte
Schutzhütte Alte Ausspanne Kilometer 46,50.7842077,10.5588043,743,Schutzhütte
Schutzhütte Alte Landesgrenze Kilometer 87,50.5982533,10.9071798,786,Schutzhütte
Schutzhütte am Alsbachberg Kilometer 111,50.476846,11.0663813,755,Schutzhütte
Schutzhütte am Bergsee,50.780228,10.5256185,790,Schutzhütte
Schutzhütte am Brand,50.4958149,11.2185358,808,Schutzhütte
Schutzhütte am Dreistromstein Kilometer 109,50.4741942,11.0393757,818,Schutzhütte
Schutzhütte am Gustav-Freytag-Stein Kilometer 58,50.7158135,10.6494724,876,Schutzhütte
Schutzhütte Am Habichtsberg Kilometer 137,50.4962229,11.0921515,835,Schutzhütte
Schutzhütte Am Kreuz Kilometer 41,50.8131563,10.5418731,700,Schutzhütte
Schutzhütte Am Kulmberg Kilometer 159,50.41662,11.5956219,677,Schutzhütte
Schutzhütte am Langertfelsen,50.525339,10.9375073,800,Schutzhütte
Schutzhütte am Mordfleck Kilometer 74,50.6360555,10.7786683,824,Schutzhütte
Schutzhütte am Parkplatz Friedrichshöhe Kilometer 107,50.4773688,11.0202874,810,Schutzhütte
Schutzhütte Am Rollkopf Kilometer 114,50.4895863,11.103226,839,Schutzhütte
Schutzhütte am Schwalbenhaupt Kilometer 96,50.5335112,10.9449109,701,Schutzhütte
Schutzhütte am Stein 16 Kilometer 63,50.6993389,10.7107065,889,Schutzhütte
Schutzhütte am Vachaer Stein Kilometer 8,50.9534602,10.2557246,371,Schutzhütte
Schutzhütte am Wachsenrasen Kilometer 55,50.7353224,10.6198905,815,Schutzhütte
Schutzhütte am Wedelbachteich Kilometer 60,50.749551,10.5851973,710,Schutzhütte
Schutzhütte an der Eisfelder Ausspanne Kilometer 103,50.4924964,10.9879592,752,Schutzhütte
Schutzhütte an der Kleinteichswiese Kilometer 94,50.5516807,10.9392059,745,Schutzhütte
Schutzhütte An der Pfingstweide Kilometer 36,50.8372639,10.4581213,688,Schutzhütte
Schutzhütte an der Schildwiese Kilometer 133,50.4821875,11.2975975,767,Schutzhütte
Schutzhütte auf dem Großen Finsterberg Kilometer 75 (Alternativroute),50.6380086,10.8017048,944,Schutzhütte
Schutzhütte auf dem Großen Jagdberg Kilometer 36,50.8357401,10.4958206,806,Schutzhütte
Schutzhütte Ausspanne an der Hirschbalz Kilometer 48,50.8013458,10.5329571,621,Schutzhütte
Ehem. Schutzhütte Ausspanne bei der Neuhöfer Wiese Kilometer 53,50.7362604,10.5857064,846,Schutzhütte
Schutzhütte Axel Kilometer 60,50.7099273,10.6646744,879,Schutzhütte
Schutzhütte bei Friedrichshöhe Kilometer 107,50.4795709,11.0153857,800,Schutzhütte
Schutzhütte Bühringshütte Kilometer 98,50.5207471,10.9537493,829,Schutzhütte
Schutzhütte Flüchtiger Hirsch Kilometer 4,50.9807981,10.229289,372,Schutzhütte
Schutzhütte Grazienhütte Kilometer 78,50.6247755,10.827649,792,Schutzhütte
Schutzhütte Große Meilerstätte Kilometer 23,50.8671482,10.3613658,671,Schutzhütte
Schutzhütte Großer Eichelberg Kilometer 2,50.9945735,10.2284997,310,Schutzhütte
Schutzhütte Heidehütte Kilometer 101,50.5031969,10.9771493,832,Schutzhütte
Schutzhütte Hirschstein Kilometer 15,50.9243204,10.3274075,469,Schutzhütte
Schutzhütte Hundskopf Kilometer 82,50.6086862,10.87207,812,Schutzhütte
Schutzhütte Kamel Kilometer 57,50.7283736,10.6406643,850,Schutzhütte
Schutzhütte Karin,50.7096818,10.6511943,898,Schutzhütte
Schutzhütte Kilometer 102,50.4961038,10.9820429,765,Schutzhütte
Schutzhütte Kilometer 120,50.5029437,11.1549082,811,Schutzhütte
Schutzhütte Kilometer 121,50.4938923,11.1600543,789,Schutzhütte
Glöcknerhütte Kilometer 24,50.8629415,10.3720585,696,Schutzhütte
Schutzhütte Kilometer 81,50.6032091,10.8537456,790,Schutzhütte
Schutzhütte Kilometer 82,50.60483,10.8588515,766,Schutzhütte
Schutzhütte Oberes Schmiedsgeräum,50.5027321,11.1325787,827,Schutzhütte
Schutzhütte Kilometer 83,50.6083191,10.8794351,805,Schutzhütte
Schutzhütte Krumme Kahre Kilometer 12,50.941199,10.290606,409,Schutzhütte
Schutzhütte Meiler Hohe Tanne Kilometer 151,50.4312164,11.4833939,722,Schutzhütte
Schutzhütte Rastplatz Wegespinne Kilometer 165,50.4036711,11.653646,586,Schutzhütte
Schutzhütte Rennsteighütte Kilometer 88,50.5914868,10.9177773,765,Schutzhütte
Schutzhütte Ruhlaer Häuschen Kilometer 21,50.8809371,10.3379439,629,Schutzhütte
Schutzhütte Schwarzaquellhütte,50.4887372,11.094063,766,Schutzhütte
Schutzhütte Steinbacher Hütte Kilometer 30,50.8526621,10.4045285,687,Schutzhütte
Schutzhütte Steinheider Hütte Kilometer 114,50.4851237,11.0972531,778,Schutzhütte
Schutzhütte Venetianierstein Kilometer 32,50.8459192,10.455334,824,Schutzhütte
Schutzhütte Wartburgblick Kilometer 4,50.9748127,10.2407548,365,Schutzhütte
Schutzhütte Weidmannsheil,50.4925294,11.0968245,825,Schutzhütte
Schutzhütte Wilde Sau Kilometer 12,50.9456034,10.2912957,386,Schutzhütte
Schutzhütte Zum Eselsgrund Kilometer 118,50.503738,10.9644948,805,Schutzhütte
Überdachter Picknicktisch; Kilometer 168,50.3933706,11.6835199,464,Unterstand
Schutzhütte Kilometer 76,50.7093146,10.690025,847,Schutzhütte
Schutzhütte Kilometer 77,50.7072916,10.6910286,843,Schutzhütte
Schutzhütte Kilometer 84,50.6665603,10.7374582,927,Schutzhütte
Skibaude Suhler Ausspanne Kilometer 68,50.6643715,10.7333265,922,Schutzhütte
Picknicktisch am Rennsteig-Beginn Kilometer 0,51.0078677,10.2276355,196,Unterstand
Schutzhütte Hirschbalzwiese Kilometer 27,50.8541162,10.4063088,696,Schutzhütte
Unterstand Hoher Stock Kilometer 94,50.548133,10.9411949,761,Schutzhütte
Unterstand Kilometer 143,50.4928832,11.1548939,801,Schutzhütte
Schutzhütte nahe Gerberstein Kilometer 26,50.8587968,10.3874528,654,Schutzhütte
Unterstand Kilometer 45,50.784744,10.5372271,735,Schutzhütte
Unterstand Kilometer 75,50.6306644,10.7904434,849,Schutzhütte
Unterstand Laubeshütte Kilometer 125,50.4878591,11.198892,830,Schutzhütte
Unterstand Rodeland Kilometer 123,50.4979624,11.1749873,786,Schutzhütte
Unterstand Sandberg Kilometer 113,50.478863,11.0887549,822,Schutzhütte
Aussichtsturm Krämerod Kilometer 49,50.765297,10.5628592,772,Schutzhütte
Berghütte der Bergwacht Struth Kilometer 49,50.7596048,10.5598542,737,Schutzhütte
Rennsteighaus Neue Ausspanne Kilometer 48,50.7705679,10.5655081,726,Schutzhütte
Schutzhütte am Sperrhügel Kilometer 50,50.7511168,10.5690403,869,Schutzhütte
Schutzhütte an der Weidensuhlswiese Kilometer 49,50.7607409,10.5633304,737,Schutzhütte
Wasserstelle Bhf Rennsteig Kilometer 79,50.6151697,10.8359957,747,Wasserstelle
Wasserstelle Ebertswiese Kilometer 45,50.7823563,10.538112,730,Wasserstelle
Wasserstelle km 18 Kilometer 18,50.9005421,10.337414,671,Wasserstelle
Wasserstelle Loquitzquelle Kilometer 147,50.4429145,11.4375627,680,Wasserstelle
Wasserstelle Schaumborn Kilometer 22,50.8756854,10.3497693,633,Wasserstelle
Schutzhütte Zollstock Kilometer 17,50.9078498,10.3336592,527,Schutzhütte
Hütte Ottowaldwiese Kilometer 21,50.8830757,10.3324825,628,Schutzhütte
Bergwacht Auerhahn Kilometer 22,50.8743694,10.3534192,675,Schutzhütte
Schutzhütte am Dreiherrenstein am Großen Weißenberg Kilometer 28,50.8497226,10.4125305,740,Schutzhütte
Rastplatz Brotteröder Hütte Kilometer 30,50.8445796,10.4380937,732,Schutzhütte
Berghütte Waltershäuser Hütte Kilometer 35,50.8383716,10.4921867,795,Schutzhütte
Schutzhütte Am Jagdberg Kilometer 37,50.8367977,10.5097673,726,Schutzhütte
Schutzhütte Neue Schmalkalder Hütte Kilometer 45,50.7824572,10.5378904,716,Schutzhütte
Schutzhütte Nesselberg Kilometer 48,50.7731187,10.5663062,753,Schutzhütte
Schutzhütte am Grenzadler Kilometer 62,50.7059905,10.6918429,842,Schutzhütte
An der Sommerwiese Kilometer 66,50.6812526,10.7316001,855,Schutzhütte
Schutzhütte Alte Tränke Kilometer 75,50.6301202,10.7934127,844,Schutzhütte
Grillhütte Kilometer 91,50.5740325,10.9384319,792,Schutzhütte
Unterstand Ersteberg Kilometer 97,50.5233728,10.9466716,825,Schutzhütte
Schutzhütte Saar-Hitt Kilometer 110,50.476067,11.0560824,797,Schutzhütte
"Wasserstelle Schwarzaquelle, 500m neben km 113",50.4889164,11.0941815,717,Wasserstelle
"Schutzhütte Am Rennsteig, Kilometer 115",50.4970855,11.105918,849,Schutzhütte
Schutzhütte Kilometer 124,50.4913359,11.1905488,810,Schutzhütte
Schutzhütte Waidmannsheil Kilometer 138,50.4579717,11.3468636,685,Schutzhütte
Kurfürstenstein Hütte Kilometer 146,50.4393366,11.4402794,730,Schutzhütte
Schutzhütte Jagdhaus Kilometer 147,50.4407549,11.4480711,733,Schutzhütte
"Schutzhütte Rodacherbrunn, Kilometer 155",50.4209729,11.5361368,685,Schutzhütte
Unterstand 3 oberhalb Brotterode Kilometer 32,50.8426603,10.4218077,718,Schutzhütte
Unterstand 2 oberhalb Brotterode,50.8383392,10.4547129,710,Schutzhütte
Wasserstelle beim Pirschhaus Dreiherrenstein,50.7914734,10.5378346,366,Wasserstelle
Borstenplatz,50.6462763,10.7730424,879,Schutzhütte
Obere Nahequelle,50.6300229,10.7934944,843,Wasserstelle
Ilmquelle,50.6397772,10.8102923,775,Wasserstelle
Schutzhütte Fünfeckiger Stein,50.5875375,10.9039157,802,Schutzhütte
Apfelstädtquelle,50.7539626,10.5738393,760,Wasserstelle
Schierlingsborn,50.8478881,10.4400821,748,Wasserstelle
Fredis Quell,50.8604415,10.3759548,658,Wasserstelle
Wasserstelle Kilometer 15,50.9242658,10.32757,472,Wasserstelle
Picknicktisch bei Ernstens Teichen,50.4289619,11.5113982,721,Unterstand
Picknicktisch 1 in Neustadt,50.578565,10.9372213,789,Unterstand
Pollerborn,50.8010964,10.5331528,667,Wasserstelle
Schutzhütte am Rangenbach,50.9722365,10.2456221,339,Schutzhütte
Picknicktisch an der Zufahrt Tanzbuche,50.8365728,10.5162627,715,Unterstand
Picknicktisch bei Oberhof,50.7075641,10.6826816,865,Unterstand
Wasserversorgung Wohnmobilstellplatz,50.7073586,10.6970851,855,Wasserstelle
Rastplatz am Griffelschieferbruch,50.4949035,11.2236605,777,Unterstand
Picknicktische am Spielplatz Hörschel,51.0079409,10.2306549,202,Unterstand
(kostenpflichtig) Toilette am Rennstein-Beginn,51.0078112,10.2276808,197,Wasserstelle
Schweinaquelle,50.8786839,10.3405279,638,Wasserstelle
Goldborn,50.8645091,10.3627279,678,Wasserstelle
Schutzhütte Schleifkotengrund,50.851006,10.3977069,642,Schutzhütte
Quelle nahe Dreiherrenstein,50.8474019,10.4147376,713,Wasserstelle
Schutzhütte am Günther-Lesser-Stein,50.8459862,10.4591573,814,Schutzhütte
Picknicktisch am Parkplatz Grenzwiese,50.8451691,10.4828577,743,Unterstand
Lauchaquelle,50.8411578,10.5202206,714,Wasserstelle
Schutzhütte an der Regenbergpromenade,50.8395082,10.5291932,694,Schutzhütte
Vordach Hütte nördlich Spießberghaus,50.8337353,10.5452928,625,Unterstand
